source_id_1,vx,vy,vz,En,Lz,flag,apogee,feh,alpha,flag_abund
2687374162527959552,-139.51884288,66.99523693,-14.10981518,-181309.67471277,425.78694073,1,2M21363923+0021158,-0.51848733,0.23038256,1
2690004056901946880,-140.05436396,141.29526409,66.68217748,-172006.33195134,923.12236897,1,2M21061729-0006015,-0.81026244,0.24542427,1
2690693420628895232,133.14397898,51.90699263,-128.44118378,-174042.3247793,565.60433107,1,2M21071366+0104019,-2.385481,0.31937438,1
2691018807351265792,298.19142579,-132.37657568,45.33814492,-142359.17830975,-417.71446226,2,2M21231564+0054080,-1.5831459,0.3064593,3
2705199861649344640,112.12419064,38.84920461,-24.26046727,-183715.25795267,512.71441335,1,2M22484483+0447457,-0.7698736,0.24416003,1
2706237006056265344,46.96287855,237.92733641,-26.33784273,-158231.48730559,2063.78613824,0,2M22405739+0548069,-0.07579262,0.08092721,1
2712315862249136768,34.31288898,171.18586814,26.30403286,-172634.27500913,1520.17818967,0,2M22460324+0617592,-0.12934828,0.20942129,1
2738340722659255296,64.64399175,229.68514062,18.01851387,-157461.80013209,2115.34042913,0,2M00035348+0051516,0.17373995,0.03095822,1
2782342456447431424,-54.17272863,-25.00604728,-37.162036,-185029.07510591,-170.81381017,1,2M00402965+1709493,-0.4941999,0.20004319,1
2786041316642488448,-102.37968725,-23.25188106,106.20596324,-175871.27237369,-180.96357977,2,2M01241544+1819543,-1.4397343,0.21045455,3
2893796857782346112,-89.6183044,173.285705,-8.49364924,-168653.56109688,1674.69386099,0,2M06341946-3121533,0.03697064,0.00461579,1
2921878414816215680,-79.61325853,184.91636587,13.00828221,-161202.19856248,2075.71058632,0,2M06533434-2451301,0.01928758,-0.01205369,1
2988305826422644224,-35.3375598,200.71535894,-31.59020911,-167960.90847205,1795.28171396,0,2M05174024-1331113,-0.2919329,0.04595179,1
3019986840931773184,80.5614513,3.97515489,-121.57158875,-171949.92446752,69.29966136,2,2M06095392-0606254,-1.4614075,0.26602834,3
3077669866623212672,77.94471048,47.29872159,-3.49257989,-179080.89848648,476.66363739,1,2M08251062+0016506,-0.92049193,0.25202143,1
3100468480744223488,-68.68862799,216.81335628,-50.42308442,-155352.70325341,2280.92940616,0,2M06415685-0614372,-0.18906918,0.03751609,1
3101114929161942144,-33.47789629,204.2005626,-30.91975109,-161532.75795548,2090.09241765,0,2M06520397-0543299,-0.31535089,0.06242603,1
3101588436416126080,-57.18328999,236.37723281,-29.47150127,-152168.44337315,2466.63988141,0,2M06594176-0503093,-0.24731693,0.06410234,1
3105847669583916032,-77.92936268,220.9545918,-12.45445341,-153494.47086898,2408.52349829,0,2M06511963-0307483,0.29735721,0.01123073,1
3111236685311164416,-57.21582464,193.04097427,-17.79722358,-160640.05770987,2118.38641288,0,2M07073890+0000149,-0.01778324,0.0043433,1
3118678596622316928,106.49365278,48.29764007,60.92993325,-175967.21162809,504.80129375,1,2M06205312-0042225,-0.5130408,0.11027388,1
3118932751308565504,-3.22171704,233.76307227,-20.20740475,-156719.4671117,2290.58686719,0,2M06382144-0112017,0.02513471,-0.00384106,1
3119582395180315520,-22.99983284,211.24513953,15.71907153,-155712.77045204,2379.23188596,0,2M06423906+0028500,-0.08963728,-0.03088906,1
3120643870577404672,67.16179034,216.51523165,18.73973208,-159770.17315214,2049.65769836,0,2M06345855+0057050,0.0849721,0.02886077,1
3125933689740064384,-30.28822374,224.32165237,23.00436396,-155642.8175212,2360.10549363,0,2M06452483+0126476,0.08637569,-0.03092312,1
3131768523070075008,10.83753588,225.84272546,-29.82647152,-155974.01446914,2321.30389185,0,2M06323191+0519138,-0.15619303,0.1769177,1
3217356501037678336,-53.80978168,201.83778372,-18.86872792,-162062.31071198,2033.9966626,0,2M05361772-0143010,0.09206351,0.00701481,1
